No,L,a,b
1,39,46,18
2,36,41,16
3,33,37,14
4,31,32,11
5,34,38,11
6,30,28,10
7,33,28,6
8,26,20,6
9,23,6,3
10,22,6,1
11,69,13,1
12,70,19,0
13,68,26,3
14,64,23,7
15,63,24,4
16,61,43,3
17,57,32,1
18,50,39,4
19,46,40,5
20,40,50,3
21,71,11,9
22,66,9,7
23,67,13,11
24,68,17,11
25,61,17,11
26,56,28,15
27,56,28,21
28,48,25,17
29,47,37,22
30,43,43,21
31,83,2,6
32,80,0,13
33,81,-4,25
34,76,-4,28
35,78,-3,35
36,72,-5,39
37,75,0,37
38,67,-2,31
39,67,16,31
40,61,8,30
41,70,-4,6
42,56,-5,6
43,53,-3,8
44,48,-6,11
45,64,-13,21
46,58,-18,22
47,41,-28,6
48,29,-10,1
49,26,-4,-3
50,25,-1,-1
51,74,-2,-5
52,67,-4,-17
53,61,5,-20
54,56,-4,-26
55,47,0,-44
56,34,3,-33
57,26,5,-20
58,23,12,-31
59,22,3,-10
60,23,2,-7
61,79,9,-5
62,74,9,-10
63,69,13,-14
64,64,17,-12
65,65,18,-19
66,65,16,-20
67,56,10,-11
68,23,15,-18
69,25,12,-13
70,23,4,-4
71,79,7,5
72,70,13,4
73,66,17,6
74,60,17,2
75,60,17,3
76,59,27,5
77,55,27,2
78,50,23,2
79,47,23,3
80,42,25,5
81,87,2,3
82,68,3,2
83,64,3,7
84,62,6,2
85,55,7,3
86,42,4,4
87,31,6,4
88,25,6,3
89,25,3,3
90,26,2,1
91,90,1,-2
92,77,2,2
93,66,0,-1
94,52,0,-2
95,43,0,-2
96,49,0,-6
97,44,0,-11
98,37,1,-10
99,25,0,-1
100,24,1,0